2025-09-11 17:32:49,430 - INFO - ============================================================
2025-09-11 17:32:49,431 - INFO - SISTEMA DE LOGGING INICIALIZADO
2025-09-11 17:32:49,431 - INFO - Archivo de log: logs/traffic_sim_20250911_173249.log
2025-09-11 17:32:49,431 - INFO - Nivel de logging: INFO
2025-09-11 17:32:49,431 - INFO - ============================================================
2025-09-11 17:32:49,714 - INFO - Creados 66 semáforos en total
2025-09-11 17:32:49,715 - INFO - Simulación inicializada correctamente
2025-09-11 17:32:49,715 - INFO - Configuración: 1600x1000
2025-09-11 17:32:49,715 - INFO - Calles creadas: 51
2025-09-11 17:32:49,715 - INFO - Semáforos instalados: 66
2025-09-11 17:32:49,715 - INFO - Edificios: 25
2025-09-11 17:32:49,715 - INFO - Hora inicial: 08:00
2025-09-11 17:33:03,620 - INFO - [17:33:03] SEMÁFORO (400,320) -> ROJO
2025-09-11 17:33:03,717 - INFO - [17:33:03] SEMÁFORO (500,700) -> ROJO
2025-09-11 17:33:03,781 - INFO - [17:33:03] NUEVO COMBI - COMBI_7032 en (1351,652)
2025-09-11 17:33:03,861 - INFO - [17:33:03] SEMÁFORO (500,100) -> VERDE
2025-09-11 17:33:03,893 - INFO - [17:33:03] SEMÁFORO (1300,200) -> ROJO
2025-09-11 17:33:03,958 - INFO - [17:33:03] SEMÁFORO (1100,500) -> VERDE
2025-09-11 17:33:03,989 - INFO - [17:33:03] SEMÁFORO (350,450) -> VERDE
2025-09-11 17:33:04,020 - INFO - [17:33:04] SEMÁFORO (1300,400) -> ROJO
2025-09-11 17:33:04,036 - INFO - [17:33:04] SEMÁFORO (300,200) -> ROJO
2025-09-11 17:33:04,133 - INFO - [17:33:04] SEMÁFORO (100,400) -> ROJO
2025-09-11 17:33:04,181 - INFO - [17:33:04] SEMÁFORO (800,600) -> ROJO
2025-09-11 17:33:04,197 - INFO - [17:33:04] SEMÁFORO (1400,200) -> VERDE
2025-09-11 17:33:04,213 - INFO - [17:33:04] SEMÁFORO (600,600) -> ROJO
2025-09-11 17:33:04,228 - INFO - [17:33:04] SEMÁFORO (600,500) -> ROJO
2025-09-11 17:33:04,340 - INFO - [17:33:04] SEMÁFORO (500,300) -> VERDE
2025-09-11 17:33:04,484 - INFO - [17:33:04] SEMÁFORO (300,700) -> VERDE
2025-09-11 17:33:04,532 - INFO - [17:33:04] SEMÁFORO (1100,700) -> ROJO
2025-09-11 17:33:04,565 - INFO - [17:33:04] SEMÁFORO (1000,600) -> VERDE
2025-09-11 17:33:04,597 - INFO - [17:33:04] SEMÁFORO (1100,400) -> ROJO
2025-09-11 17:33:04,597 - INFO - [17:33:04] SEMÁFORO (700,400) -> ROJO
2025-09-11 17:33:04,612 - INFO - [17:33:04] SEMÁFORO (500,200) -> ROJO
2025-09-11 17:33:05,014 - INFO - [17:33:05] NUEVO AUTO - AUTO_3603 en (1444,425)
2025-09-11 17:33:05,158 - INFO - [17:33:05] SEMÁFORO (200,200) -> VERDE
2025-09-11 17:33:05,334 - INFO - [17:33:05] SEMÁFORO (300,800) -> VERDE
2025-09-11 17:33:05,480 - INFO - [17:33:05] SEMÁFORO (300,300) -> VERDE
2025-09-11 17:33:05,513 - INFO - [17:33:05] SEMÁFORO (800,800) -> VERDE
2025-09-11 17:33:05,545 - INFO - [17:33:05] PARADA DE PASAJEROS (2.5s) - COMBI_7032 en (1389,805)
2025-09-11 17:33:05,626 - WARNING - 🚨 ALERTA: Congestión CRÍTICA en SUR (100.0%)
2025-09-11 17:33:05,739 - INFO - [17:33:05] SEMÁFORO (1400,400) -> VERDE
2025-09-11 17:33:05,755 - INFO - [17:33:05] SEMÁFORO (700,350) -> VERDE
2025-09-11 17:33:05,819 - INFO - [17:33:05] SEMÁFORO (800,100) -> VERDE
2025-09-11 17:33:05,836 - INFO - [17:33:05] SEMÁFORO (200,600) -> VERDE
2025-09-11 17:33:05,836 - INFO - [17:33:05] SEMÁFORO (1100,300) -> VERDE
2025-09-11 17:33:05,964 - INFO - [17:33:05] SEMÁFORO (900,200) -> VERDE
